Location_ID,Date,Hour,City,State,Temperature_C,Humidity_pct,Rainfall_mm,Wind_Speed_kmh,Weather_Condition
Unknown|Unknown,2025-02-27,19,Unknown,Unknown,15.1,71.2,0.0,10.3,Clear
Unknown|Unknown,2024-06-12,18,Unknown,Unknown,30.7,62.2,1.59,8.6,Light Rain
Unknown|Unknown,2024-09-03,10,Unknown,Unknown,12.4,65.5,0.0,14.8,Clear
Unknown|Unknown,2024-08-31,3,Unknown,Unknown,20.7,58.6,0.0,21.7,Clear
Unknown|Unknown,2025-10-08,14,Unknown,Unknown,19.3,55.5,0.0,9.4,Clear
Unknown|Unknown,2025-11-02,23,Unknown,Unknown,12.8,54.7,0.0,23.9,Clear
Unknown|Unknown,2024-03-08,13,Unknown,Unknown,14.8,66.2,0.0,14.7,Clear
Unknown|Unknown,2024-04-30,10,Unknown,Unknown,23.5,68.8,0.0,23.6,Clear
Unknown|Unknown,2025-11-14,13,Unknown,Unknown,7.1,81.4,0.0,16.2,Clear
Unknown|Unknown,2025-12-16,13,Unknown,Unknown,6.2,78.1,0.0,10.1,Clear
Unknown|Unknown,2025-09-01,12,Unknown,Unknown,14.8,65.1,0.0,13.2,Clear
Unknown|Unknown,2025-06-12,18,Unknown,Unknown,31.3,54.0,0.0,7.2,Clear
Unknown|Unknown,2025-08-11,10,Unknown,Unknown,20.4,66.2,0.0,20.9,Clear
Unknown|Unknown,2024-06-07,1,Unknown,Unknown,30.7,57.6,0.26,9.0,Light Rain
Unknown|Unknown,2024-01-06,4,Unknown,Unknown,9.3,71.6,0.0,14.5,Clear
Unknown|Unknown,2024-06-12,0,Unknown,Unknown,30.2,48.7,0.0,10.4,Clear
Unknown|Unknown,2024-10-21,1,Unknown,Unknown,10.4,65.3,0.0,2.9,Clear
Unknown|Unknown,2025-11-22,23,Unknown,Unknown,14.5,66.0,0.0,18.9,Clear
Unknown|Unknown,2025-04-14,22,Unknown,Unknown,18.0,74.4,0.0,4.6,Clear
Unknown|Unknown,2024-03-28,16,Unknown,Unknown,23.4,64.8,0.98,11.2,Light Rain
Unknown|Unknown,2025-05-09,9,Unknown,Unknown,24.7,63.8,0.0,7.4,Clear
Unknown|Unknown,2025-11-14,15,Unknown,Unknown,12.9,69.0,0.0,23.0,Clear
Unknown|Unknown,2024-09-15,3,Unknown,Unknown,20.1,63.0,0.0,16.4,Clear
Unknown|Unknown,2024-09-25,16,Unknown,Unknown,17.4,60.6,0.0,14.7,Clear
Unknown|Unknown,2025-02-13,3,Unknown,Unknown,9.1,72.3,0.0,18.0,Clear
Unknown|Unknown,2024-04-28,5,Unknown,Unknown,25.6,55.2,0.0,21.0,Clear
Unknown|Unknown,2025-09-09,8,Unknown,Unknown,17.6,72.6,0.0,13.5,Clear
Unknown|Unknown,2025-12-03,16,Unknown,Unknown,4.3,90.4,0.0,12.7,Cold
Unknown|Unknown,2024-01-15,13,Unknown,Unknown,3.4,62.3,0.56,6.3,Light Rain
Unknown|Unknown,2025-03-30,6,Unknown,Unknown,16.3,51.5,0.0,15.4,Clear
Unknown|Unknown,2025-09-09,18,Unknown,Unknown,22.6,72.1,0.0,16.6,Clear
Unknown|Unknown,2024-07-13,4,Unknown,Unknown,24.6,70.9,0.0,16.3,Clear
Unknown|Unknown,2025-04-23,23,Unknown,Unknown,30.5,61.8,0.0,17.3,Clear
Unknown|Unknown,2024-09-14,11,Unknown,Unknown,19.6,54.7,0.0,0.0,Clear
Unknown|Unknown,2025-11-10,15,Unknown,Unknown,9.0,65.2,0.0,14.8,Clear
Unknown|Unknown,2025-09-07,17,Unknown,Unknown,26.8,69.8,0.0,18.8,Clear
Unknown|Unknown,2024-05-20,6,Unknown,Unknown,25.2,69.2,0.0,13.0,Clear
Unknown|Unknown,2025-07-26,4,Unknown,Unknown,25.3,45.7,0.0,4.8,Clear
Unknown|Unknown,2024-11-08,11,Unknown,Unknown,11.0,57.6,0.0,12.7,Clear
Unknown|Unknown,2024-08-12,1,Unknown,Unknown,29.3,57.7,0.0,21.6,Clear
Unknown|Unknown,2024-10-24,3,Unknown,Unknown,5.0,69.6,0.0,13.3,Clear
Unknown|Unknown,2024-05-09,3,Unknown,Unknown,26.8,63.5,0.0,22.2,Clear
Unknown|Unknown,2024-07-13,5,Unknown,Unknown,28.0,49.2,0.0,19.3,Clear
